Clm_Count;Exp_weights;SexInsured;Female;VehicleType;NCD;AgeCat;VAgeCat
0;0.668035592;U;0;T;30;0;0
0;0.566735113;U;0;T;30;0;0
0;0.503764545;U;0;T;30;0;0
0;0.914442163;U;0;T;20;0;0
0;0.536618754;U;0;T;20;0;0
0;0.752908967;U;0;T;20;0;0
0;0.670773443;U;0;M;20;0;6
0;0.837782341;U;0;M;20;0;6
0;0.167008898;U;0;M;20;0;6
0;0.503764545;U;0;M;20;0;6
0;0.435318275;U;0;M;20;0;6
0;0.605065024;U;0;M;20;0;6
0;0.167008898;U;0;M;20;0;6
0;0.503764545;U;0;M;20;0;6
0;0.585900068;U;0;M;20;0;6
0;0.670773443;U;0;M;20;0;5
0;0.167008898;U;0;M;20;0;5
0;0.914442163;U;0;M;10;0;5
0;0.999315537;U;0;M;10;0;5
0;0.670773443;U;0;M;10;0;5
0;0.837782341;U;0;M;20;0;5
0;0.752908967;U;0;M;20;0;5
0;0.752908967;U;0;M;20;0;5
0;0.503764545;U;0;M;20;0;5
0;0.906228611;U;0;M;0;0;3
0;0.670773443;U;0;M;20;0;5
0;0.585900068;U;0;M;20;0;5
0;0.720054757;U;0;M;0;0;5
0;0.670773443;U;0;M;20;0;5
0;0.585900068;U;0;M;20;0;5
0;0.224503765;U;0;M;20;0;5
0;0.914442163;U;0;M;20;0;5
0;0.34770705;U;0;M;0;0;5
0;0.41889117;M;0;A;40;3;6
0;0.084873374;M;0;A;20;4;0
0;0.837782341;M;0;A;50;5;0
0;0.547570157;M;0;A;10;4;6
1;0.895277207;M;0;A;20;3;6
1;0.851471595;M;0;A;30;3;0
0;0.334017796;M;0;A;50;5;6
0;0.752908967;M;0;A;50;6;6
1;0.914442163;F;1;A;50;4;2
0;0.999315537;M;0;A;20;3;6
0;0.665297741;M;0;A;30;4;0
0;0.999315537;F;1;A;0;7;6
0;0.240930869;M;0;A;0;3;2
0;0.837782341;M;0;A;50;3;6
0;0.334017796;F;1;A;50;4;2
0;0.90349076;M;0;A;0;4;6
0;0.254620123;M;0;A;30;3;6
0;0.167008898;M;0;A;50;4;6
0;0.405201917;F;1;A;0;4;6
0;0.503764545;M;0;A;20;3;6
0;0.999315537;F;1;A;50;4;6
0;0.670773443;M;0;A;40;4;6
0;0.334017796;M;0;A;10;4;6
0;0.328542095;M;0;A;10;4;6
0;0.813141684;M;0;A;10;3;2
0;0.919917865;M;0;A;0;3;6
0;0.914442163;M;0;A;50;3;0
0;0.908966461;M;0;A;50;6;6
0;0.271047228;M;0;A;0;3;0
0;0.862422998;M;0;A;50;3;0
0;0.837782341;M;0;A;10;4;6
0;0.569472964;M;0;A;0;2;0
0;0.982888433;M;0;A;0;4;0
0;0.583162218;M;0;A;0;3;0
0;0.167008898;M;0;A;50;3;0
0;0.049281314;M;0;A;0;4;0
0;0.654346338;F;1;A;20;3;0
0;0.295687885;M;0;A;0;4;0
0;0.999315537;M;0;A;50;3;0
0;0.084873374;M;0;A;0;4;0
0;0.084873374;M;0;A;50;5;0
0;0.084873374;M;0;A;0;3;0
0;0.084873374;M;0;A;20;4;0
0;0.084873374;F;1;A;50;3;0
0;0.082135524;M;0;A;50;6;0
0;0.999315537;M;0;A;50;4;0
0;0.503764545;M;0;A;30;4;0
0;0.41889117;M;0;A;40;4;0
0;0.366872006;M;0;A;10;2;0
0;0.900752909;F;1;A;50;4;0
0;0.676249144;M;0;A;0;4;6
0;0.084873374;M;0;A;0;6;0
0;0.657084189;M;0;A;0;4;0
0;0.999315537;M;0;A;0;4;0
0;0.531143053;M;0;A;0;4;6
0;0.355920602;U;0;G;50;0;5
0;0.914442163;M;0;A;50;5;0
0;0.010951403;M;0;A;0;4;0
0;0.41889117;M;0;A;40;4;0
0;0.599589322;M;0;A;0;3;0
0;0.334017796;M;0;A;20;3;0
0;0.837782341;M;0;A;50;4;0
0;0.334017796;M;0;A;50;6;0
0;0.334017796;M;0;A;50;4;0
0;0.334017796;M;0;A;10;3;0
0;0.257357974;M;0;A;30;4;0
0;0.837782341;M;0;A;40;4;0
0;0.752908967;M;0;A;50;3;0
0;0.744695414;M;0;A;50;5;0
0;0.62422998;M;0;A;0;2;0
0;0.5229295;M;0;A;0;3;0
0;0.167008898;M;0;A;50;4;0
0;0.10403833;M;0;A;0;2;0
0;0.084873374;M;0;A;50;4;0
0;0.065708419;M;0;A;0;4;0
0;0.977412731;M;0;A;50;4;0
0;0.925393566;M;0;A;10;4;0
0;0.999315537;M;0;A;50;4;0
1;0.856947296;M;0;A;0;4;1
0;0.996577687;F;1;A;50;3;0
0;0.481861739;M;0;A;50;6;0
0;0.125941136;M;0;A;0;4;0
0;0.999315537;M;0;A;0;5;0
0;0.41889117;M;0;A;30;4;0
0;0.41889117;M;0;A;50;4;0
0;0.856947296;M;0;A;20;3;0
0;0.670773443;F;1;A;0;3;0
1;0.728268309;M;0;A;0;5;0
0;0.41889117;M;0;A;10;5;0
0;0.41889117;M;0;A;10;4;0
0;0.914442163;F;1;A;50;5;0
0;0.334017796;M;0;A;50;3;0
0;0.005475702;M;0;A;0;2;0
0;0.167008898;M;0;A;0;4;0
0;0.837782341;F;1;A;50;4;0
0;0.251882272;M;0;A;0;4;0
0;0.213552361;M;0;A;0;3;0
0;0.334017796;M;0;A;50;5;0
0;0.13963039;M;0;A;0;3;0
0;0.752908967;M;0;A;10;5;6
0;0.251882272;M;0;A;0;3;0
0;0.167008898;M;0;A;30;4;0
0;0.985626283;M;0;A;10;3;0
1;0.13963039;M;0;A;0;3;0
0;0.646132786;M;0;A;50;4;0
0;0.525667351;M;0;A;0;4;0
