date;pickups;min_temp;max_temp;wind_speed;visibility;pressure;precipitation;snow_depth
01/04/2013;1290;44.1;62.1;5.7;6.8;1000.5;0.08;0.0
02/04/2013;1352;33.1;46.9;8.5;10.0;1009.3;0.0;0.0
03/04/2013;1450;33.1;46.0;8.9;10.0;1014.8;0.0;0.0
04/04/2013;1901;33.1;53.1;6.1;10.0;1020.3;0.0;0.0
05/04/2013;1927;41.0;64.0;4.7;10.0;1008.0;0.0;0.0
06/04/2013;1778;35.1;53.1;6.2;10.0;1016.4;0.0;0.0
07/04/2013;1338;39.9;54.0;5.8;10.0;1018.0;0.0;0.0
08/04/2013;1321;51.1;73.0;4.1;10.0;1011.6;0.0;0.0
09/04/2013;1389;51.1;82.0;4.3;9.3;1009.4;0.0;0.0
10/04/2013;1532;55.0;75.9;4.0;9.7;1007.6;0.0;0.0
11/04/2013;1524;48.2;60.1;4.8;7.4;1008.0;0.49;0.0
12/04/2013;1595;41.0;48.9;9.9;7.5;1007.9;0.01;0.0
13/04/2013;1714;41.0;57.9;3.9;9.7;1005.4;0.63;0.0
14/04/2013;1353;46.9;57.0;3.5;10.0;1011.9;0.01;0.0
15/04/2013;1465;44.1;59.0;5.5;10.0;1020.9;0.0;0.0
16/04/2013;1404;46.9;63.0;5.6;10.0;1021.3;0.0;0.0
17/04/2013;1528;55.0;71.1;5.3;9.9;1016.8;0.02;0.0
18/04/2013;1856;51.1;64.0;4.6;9.9;1020.8;0.01;0.0
19/04/2013;1832;54.0;71.1;6.1;7.9;1008.6;0.0;0.0
20/04/2013;1449;50.0;66.0;7.6;9.3;1006.4;0.11;0.0
21/04/2013;1110;37.0;55.0;5.5;10.0;1026.4;0.06;0.0
22/04/2013;1518;41.0;55.0;6.8;10.0;1031.2;0.0;0.0
23/04/2013;1604;41.0;53.1;8.3;9.8;1023.0;0.0;0.0
24/04/2013;1665;44.1;69.1;4.5;9.4;1011.2;0.0;0.0
25/04/2013;1771;46.0;66.0;4.9;9.6;1013.2;0.0;0.0
26/04/2013;1461;50.0;66.9;2.5;10.0;1021.8;0.0;0.0
27/04/2013;1218;48.0;70.0;4.4;10.0;1023.6;0.0;0.0
28/04/2013;983;51.1;69.1;3.5;10.0;1020.3;0.0;0.0
29/04/2013;1500;53.1;57.0;4.3;9.6;1018.4;0.0;0.0
30/04/2013;1544;51.1;68.0;4.8;10.0;1019.9;0.04;0.0
01/05/2013;1723;46.9;69.1;4.5;10.0;1024.5;0.0;0.0
02/05/2013;1775;48.9;72.0;2.3;10.0;1025.3;0.0;0.0
03/05/2013;2059;51.1;66.0;6.0;10.0;1024.7;0.0;0.0
04/05/2013;1608;48.0;69.1;4.9;10.0;1021.6;0.0;0.0
05/05/2013;1326;46.9;63.0;5.2;10.0;1020.1;0.0;0.0
06/05/2013;2425;46.0;69.1;3.6;9.5;1018.6;0.0;0.0
07/05/2013;2492;52.0;73.9;4.0;9.9;1015.7;0.0;0.0
08/05/2013;2221;57.0;66.0;4.5;6.3;1012.8;1.28;0.0
09/05/2013;1870;54.0;68.0;2.9;6.4;1009.4;1.76;0.0
10/05/2013;1861;59.0;79.0;3.0;9.2;1009.5;0.48;0.0
11/05/2013;1368;61.0;70.0;3.3;5.8;1004.8;0.18;0.0
12/05/2013;949;57.0;70.0;5.4;9.4;1001.2;0.92;0.0
13/05/2013;1557;46.0;59.0;6.6;10.0;1010.5;0.0;0.0
14/05/2013;1862;42.1;61.0;4.3;10.0;1013.9;0.0;0.0
15/05/2013;1623;52.0;66.9;3.3;9.7;1008.9;0.0;0.0
16/05/2013;1984;62.1;79.0;3.3;9.9;1002.4;0.0;0.0
17/05/2013;1621;57.9;72.0;3.0;10.0;1010.6;0.0;0.0
18/05/2013;1424;55.9;66.9;2.2;10.0;1019.7;0.0;0.0
19/05/2013;1063;55.0;60.1;3.6;5.0;1020.5;0.1;0.0
20/05/2013;1532;57.2;77.0;2.0;4.2;1014.2;0.51;0.0
21/05/2013;1378;68.0;86.0;3.6;7.6;1008.6;0.0;0.0
22/05/2013;1301;59.0;81.0;3.7;6.1;1007.1;0.0;0.0
23/05/2013;1191;66.0;80.1;3.9;6.4;1006.2;0.0;0.0
24/05/2013;1072;46.9;66.2;4.5;6.3;1003.6;1.91;0.0
25/05/2013;835;44.6;53.1;7.5;9.1;1008.3;0.29;0.0
26/05/2013;630;48.0;66.0;8.3;10.0;1011.3;0.05;0.0
27/05/2013;767;51.1;73.0;3.3;10.0;1017.3;0.0;0.0
28/05/2013;1452;55.4;66.9;2.3;7.1;1017.3;0.0;0.0
29/05/2013;1905;57.9;82.0;1.6;3.2;1013.8;0.52;0.0
30/05/2013;1661;72.0;90.0;3.8;9.0;1013.8;0.0;0.0
31/05/2013;1686;75.0;90.0;3.4;9.0;1013.8;0.0;0.0
01/06/2013;1540;73.9;90.0;3.8;9.8;1010.2;0.0;0.0
02/06/2013;1043;73.0;88.0;5.1;10.0;1006.1;0.0;0.0
03/06/2013;1524;68.0;82.0;3.5;6.6;1005.2;1.0;0.0
04/06/2013;1705;57.0;75.0;3.9;9.5;1009.8;0.72;0.0
05/06/2013;1559;57.9;73.9;3.7;10.0;1015.9;0.0;0.0
06/06/2013;1606;59.0;70.0;3.7;8.7;1014.9;0.0;0.0
07/06/2013;1638;59.0;64.0;7.2;4.2;1008.2;0.95;0.0
08/06/2013;1204;57.0;77.0;5.9;7.2;1003.5;3.82;0.0
09/06/2013;1055;63.0;80.1;1.7;10.0;1014.7;0.48;0.0
10/06/2013;1669;64.0;75.0;4.2;5.1;1014.3;0.0;0.0
11/06/2013;1481;62.1;78.1;4.9;5.6;1002.5;1.47;0.0
12/06/2013;1579;64.9;75.9;6.1;9.8;1003.1;0.09;0.0
13/06/2013;1622;60.1;73.9;3.6;8.1;1001.2;0.0;0.0
14/06/2013;1489;53.1;72.0;6.5;7.7;999.9;1.58;0.0
15/06/2013;1144;61.0;80.1;3.5;10.0;1008.8;0.06;0.0
16/06/2013;943;64.9;80.1;2.5;9.8;1008.0;0.0;0.0
17/06/2013;1472;69.1;84.0;3.7;9.1;1006.6;0.0;0.0
18/06/2013;1640;64.9;84.0;1.9;7.3;1006.7;0.01;0.0
19/06/2013;1532;59.0;77.0;5.0;8.7;1010.0;0.2;0.0
20/06/2013;1858;62.1;80.1;3.2;10.0;1018.3;0.0;0.0
21/06/2013;1587;64.0;82.0;3.9;10.0;1020.2;0.0;0.0
22/06/2013;1387;64.9;84.0;4.1;10.0;1018.8;0.0;0.0
23/06/2013;943;70.0;88.0;3.8;9.9;1016.1;0.0;0.0
24/06/2013;1504;73.4;90.0;4.0;9.0;1012.2;0.0;0.0
25/06/2013;1536;73.0;91.0;2.9;8.4;1008.7;0.0;0.0
26/06/2013;1493;73.9;84.9;3.7;9.2;1005.0;0.0;0.0
27/06/2013;1679;73.9;86.0;2.9;7.9;1003.1;0.05;0.0
28/06/2013;1488;73.0;84.9;4.6;8.1;995.6;0.24;0.0
29/06/2013;1179;71.1;82.9;3.5;8.7;996.5;0.0;0.0
30/06/2013;1012;73.9;84.0;3.0;7.5;1003.6;0.0;0.0
01/07/2013;1356;72.0;77.0;2.7;6.6;1009.1;0.0;0.0
02/07/2013;1318;72.0;82.0;2.2;7.9;1014.2;0.84;0.0
03/07/2013;1340;73.0;82.9;4.2;8.5;1018.0;0.08;0.0
04/07/2013;678;75.0;87.1;3.1;8.4;1018.2;0.53;0.0
05/07/2013;1100;75.9;90.0;4.7;9.4;1017.0;0.0;0.0
